Player,x1,y1,x2,y2,result,key pass
James,57.6,77.32285714285715,96.0,55.800000000000004,True,False
James,68.4,76.52571428571427,84.0,78.91714285714285,False,False
James,78.0,58.98857142857143,116.39999999999999,23.117142857142856,True,False
James,81.60000000000001,72.53999999999999,57.6,70.14857142857143,True,False
James,82.8,75.72857142857143,98.39999999999999,64.56857142857143,True,False
James,102.0,78.91714285714285,94.8,66.96000000000001,True,False
James,112.8,67.75714285714285,120.0,45.43714285714286,False,False
Jonah,10.799999999999999,37.465714285714284,6.0,33.480000000000004,False,False
Jonah,14.4,30.291428571428572,39.6,15.942857142857141,True,False
Jonah,32.4,58.19142857142857,28.8,62.97428571428571,True,False
Jonah,33.6,42.24857142857143,46.800000000000004,38.262857142857136,False,False
Jonah,36.0,19.131428571428568,31.2,24.71142857142857,False,False
