Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-3-2-1 (100.0%),0.35,3,2,66.67,8,2,25,0,0,0,2,1,50,1,0,0,0,0,0,6,3,50,19,8,42.11,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,San Diego Toreros,3-5-2 (100.0%),0.18,3,2,66.67,6,2,33.33,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,21,7,33.33,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,UC San Diego Tritons,3-4-2-1 (100.0%),0.91,5,2,40,7,3,42.86,0,0,0,1,1,100,0,0,0,0,0,0,4,2,50,27,11,40.74,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,Santa Clara Broncos,3-5-2 (100.0%),0.76,3,2,66.67,11,2,18.18,0,0,0,0,0,0,1,0,0,0,0,0,4,2,50,17,5,29.41,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,UC San Diego Tritons,5-3-2 (100.0%),0.29,3,0,0,3,1,33.33,1,1,100,1,0,0,0,0,0,0,0,0,4,1,25,15,8,53.33,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,Denver Pioneers,4-1-3-2 (100.0%),0.2,2,1,50,5,1,20,0,0,0,2,1,50,0,0,0,0,0,0,2,0,0,10,2,20,1
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,UC San Diego Tritons,4-2-3-1 (100.0%),0.4,3,2,66.67,7,2,28.57,0,0,0,1,0,0,1,0,0,0,0,0,3,1,33.33,22,5,22.73,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,Gonzaga Bulldogs,3-5-2 (100.0%),0.01,1,0,0,6,0,0,0,0,0,1,1,100,0,0,0,0,0,0,2,1,50,12,7,58.33,1
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (0.0%),0.05,2,0,0,5,1,20,0,0,0,1,0,0,1,0,0,0,0,0,1,1,100,16,11,68.75,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),1.06,6,1,16.67,9,5,55.56,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,13,7,53.85,2
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,UC San Diego Tritons,4-4-1-1 (0.0%),0.43,3,1,33.33,9,1,11.11,0,0,0,3,0,0,2,1,50,0,0,0,3,0,0,21,11,52.38,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,Pacific Tigers,4-4-1-1 (54.03%),0.06,1,1,100,2,1,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,7,41.18,0
