Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),50,34,68,23,9,39.13,7,7,100,8,7,87.5,7,1,14.29,13,7,53.85,12,6,50,0,0,0,3,3,100,2
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),45,33,73.33,16,11,68.75,6,5,83.33,21,15,71.43,8,5,62.5,8,5,62.5,13,8,61.54,0,0,0,3,3,100,2
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),38,27,71.05,17,11,64.71,4,4,100,9,6,66.67,8,1,12.5,10,7,70,11,9,81.82,0,0,0,2,2,100,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (0.0%),50,40,80,17,12,70.59,7,7,100,15,14,93.33,7,5,71.43,5,4,80,13,6,46.15,1,0,0,3,3,100,2
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),41,31,75.61,19,13,68.42,4,3,75,12,10,83.33,7,4,57.14,11,7,63.64,15,11,73.33,1,1,100,3,2,66.67,3
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),64,54,84.38,21,15,71.43,7,7,100,26,25,96.15,4,3,75,7,4,57.14,11,9,81.82,1,0,0,4,3,75,2
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (0.0%),21,12,57.14,9,3,33.33,3,2,66.67,5,5,100,5,1,20,2,0,0,5,1,20,0,0,0,2,2,100,3
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (0.0%),96,77,80.21,33,23,69.7,10,10,100,47,41,87.23,12,8,66.67,20,14,70,22,18,81.82,1,0,0,8,8,100,1
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),58,41,70.69,27,17,62.96,7,5,71.43,19,16,84.21,7,4,57.14,10,8,80,13,9,69.23,1,0,0,6,6,100,1
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),66,54,81.82,29,24,82.76,6,5,83.33,24,20,83.33,8,4,50,13,7,53.85,17,16,94.12,0,0,0,1,1,100,1
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),65,53,81.54,31,24,77.42,12,11,91.67,13,12,92.31,14,8,57.14,15,13,86.67,20,16,80,0,0,0,2,2,100,1
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),62,45,72.58,29,14,48.28,8,7,87.5,15,14,93.33,9,4,44.44,14,6,42.86,15,11,73.33,0,0,0,3,3,100,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (33.22%),54,44,81.48,19,12,63.16,9,9,100,19,17,89.47,7,3,42.86,5,3,60,8,3,37.5,1,1,100,1,1,100,3
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),88,80,90.91,25,21,84,12,12,100,35,33,94.29,3,2,66.67,7,7,100,14,12,85.71,1,1,100,3,3,100,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),44,39,88.64,15,13,86.67,5,5,100,17,14,82.35,3,3,100,6,6,100,9,9,100,0,0,0,5,4,80,2
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),57,49,85.96,22,17,77.27,7,7,100,21,19,90.48,5,1,20,10,8,80,14,11,78.57,0,0,0,1,1,100,1
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (0.0%),47,31,65.96,18,10,55.56,10,8,80,10,7,70,7,3,42.86,9,6,66.67,10,5,50,0,0,0,1,0,0,1
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),105,92,87.62,29,23,79.31,16,14,87.5,48,45,93.75,3,1,33.33,15,14,93.33,17,14,82.35,2,0,0,1,1,100,1
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (81.56%),18,12,66.67,10,8,80,2,1,50,3,1,33.33,4,2,50,4,2,50,5,3,60,0,0,0,1,1,100,2
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),64,56,87.5,22,17,77.27,9,9,100,27,25,92.59,8,6,75,8,6,75,13,11,84.62,0,0,0,5,5,100,0
