Date,Match,Competition,Duration,Team,Scheme,Match tempo,Average passes per possession,Long pass %,PPDA,Average shot distance,Average pass length
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,16,Sacramento State Hornets,4-3-1-2 (100.0%),18.96,6.84,6.15,4,22.27,20.12
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),12.74,2.58,19.35,15.5,23.06,21.52
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,18,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),18.59,6.14,11.11,9.2,18.2,21.69
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-3-2-1 (100.0%),19.69,3.22,22.41,29,32.23,21.52
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,San Diego Toreros,3-5-2 (100.0%),16.97,6.55,8.4,9.2,24.43,21.99
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,3-4-2-1 (100.0%),16.39,2.62,23.64,12.6,0,20.15
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,Santa Clara Broncos,3-5-2 (100.0%),17.71,5.41,8.4,4.25,23.72,17.85
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (0.0%),14.62,3.5,19.64,15.29,17.72,25.68
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),20.89,7.71,6.11,40,18.79,17.41
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-2-3-1 (100.0%),18.66,3.9,12.2,10.14,15.76,20.34
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,Gonzaga Bulldogs,3-5-2 (100.0%),16.8,4.83,9.2,31,16.65,21.03
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (100.0%),15.78,3.38,13.58,17.75,10.5,19.92
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),17.03,4.26,7.41,13.5,17.23,18.19
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-4-1-1 (100.0%),14.64,1.6,20,11,0,20.59
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,Pacific Tigers,4-4-1-1 (100.0%),16.97,4.82,8.49,14.5,19.66,22.97
