Date,Match,Competition,Duration,Team,Scheme,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,1,1,100,8,3,37.5,10,7,70,0,0,0,3,0,4,0,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),0,0,0,0,12,2,16.67,10,3,30,0,0,0,3,5,6,0,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0,0,0,10,8,80,5,3,60,0,0,0,3,1,0,0,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (100.0%),0,0,0,0,10,7,70,5,2,40,0,0,0,5,0,3,0,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,1,1,100,4,4,100,6,1,16.67,0,0,0,8,1,2,0,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0,0,0,10,4,40,6,5,83.33,0,0,0,11,2,2,0,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,1,1,100,8,5,62.5,12,7,58.33,0,0,0,6,2,1,0,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0,0,0,10,9,90,12,4,33.33,0,0,0,10,0,1,0,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),0,0,0,0,16,9,56.25,9,2,22.22,0,0,0,6,2,2,0,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),0,2,2,100,18,11,61.11,9,7,77.78,0,0,0,11,5,2,0,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),0,0,0,0,8,3,37.5,14,10,71.43,1,0,0,11,1,1,0,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),0,1,1,100,14,10,71.43,14,4,28.57,1,0,0,4,1,3,0,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (100.0%),1,1,1,100,7,4,57.14,4,1,25,1,0,0,5,0,1,0,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),0,0,0,0,12,10,83.33,4,2,50,0,0,0,5,2,2,0,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0,0,0,20,17,85,8,4,50,0,0,0,4,5,1,0,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),0,0,0,0,11,7,63.64,8,2,25,0,0,0,5,0,0,0,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (100.0%),1,1,1,100,10,6,60,7,2,28.57,0,0,0,8,0,2,0,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),0,0,0,0,10,7,70,7,5,71.43,2,1,50,4,2,1,0,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),0,0,0,0,10,8,80,11,2,18.18,1,0,0,9,1,1,0,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0,0,0,0,10,7,70,11,8,72.73,0,0,0,6,5,1,0,0
