Date,Match,Competition,Duration,Team,Scheme,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,San Diego Toreros,3-5-2 (100.0%),0,2,2,100,19,11,57.89,13,5,38.46,0,0,0,11,7,6,1,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,UC San Diego Tritons,3-4-2-1 (100.0%),1,2,2,100,17,12,70.59,21,11,52.38,3,0,0,15,3,4,0,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,Santa Clara Broncos,3-5-2 (100.0%),1,2,2,100,27,16,59.26,21,6,28.57,5,4,80,7,4,6,1,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,UC San Diego Tritons,5-3-2 (100.0%),0,1,1,100,10,8,80,2,0,0,0,0,0,8,2,1,0,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,Denver Pioneers,4-1-3-2 (100.0%),0,0,0,0,15,7,46.67,2,1,50,0,0,0,7,2,4,0,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,UC San Diego Tritons,4-2-3-1 (100.0%),0,0,0,0,12,5,41.67,6,2,33.33,0,0,0,10,7,3,1,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,Gonzaga Bulldogs,3-5-2 (100.0%),0,2,2,100,22,17,77.27,6,4,66.67,3,1,33.33,6,4,5,1,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (0.0%),0,1,1,100,13,6,46.15,5,3,60,0,0,0,12,1,3,0,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0,0,0,0,16,5,31.25,5,2,40,2,2,100,6,2,5,1,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,UC San Diego Tritons,4-4-1-1 (0.0%),1,1,1,100,17,10,58.82,11,6,54.55,2,1,50,4,1,6,1,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,Pacific Tigers,4-4-1-1 (54.03%),0,1,1,100,21,10,47.62,11,4,36.36,1,0,0,12,5,4,1,0
