Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-2-3-1 (100.0%),1,0.1,2,1,50,54,36,66.67,47.82,26,1,6,19,16,5,6,5,42,20,47.62
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,4-4-2 (0.0%),2,0.68,3,2,66.67,57,44,77.19,52.18,22,9,7,6,20,9,9,2,42,18,42.86
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,0.3,2,1,50,63,47,74.6,40.97,20,5,6,9,21,12,5,4,47,19,40.43
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.4,3,1,33.33,86,71,82.56,59.03,26,5,4,17,22,9,8,5,47,28,59.57
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (0.0%),0,0,0,0,0,48,31,64.58,39.14,27,7,10,10,22,13,9,0,54,30,55.56
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC Santa Barbara Gauchos,4-2-3-1 (0.0%),0,0.4,3,0,0,96,78,81.25,60.86,25,1,6,18,24,12,8,4,54,22,40.74
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-3-2-1 (100.0%),0,0.35,3,2,66.67,78,58,74.36,49.19,31,2,11,18,23,10,11,2,60,30,50
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,San Diego Toreros,3-5-2 (100.0%),1,0.18,3,2,66.67,87,70,80.46,50.81,26,4,13,9,17,8,5,4,60,26,43.33
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,UC San Diego Tritons,3-4-2-1 (100.0%),1,0.91,5,2,40,85,59,69.41,52.21,45,6,19,20,35,15,17,3,84,40,47.62
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,Santa Clara Broncos,3-5-2 (100.0%),1,0.76,3,2,66.67,99,70,70.71,47.79,41,5,16,20,32,16,10,6,84,37,44.05
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,UC San Diego Tritons,5-3-2 (100.0%),0,0.29,3,0,0,64,55,85.94,36.62,15,3,6,6,12,6,6,0,30,16,53.33
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,Denver Pioneers,4-1-3-2 (100.0%),0,0.2,2,1,50,160,145,90.63,63.38,20,3,8,9,14,5,6,3,30,13,43.33
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.4,3,2,66.67,52,43,82.69,51.92,24,4,7,13,15,6,6,3,48,18,37.5
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,Gonzaga Bulldogs,3-5-2 (100.0%),0,0.01,1,0,0,74,57,77.03,48.08,18,4,7,7,16,8,6,2,48,28,58.33
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (0.0%),0,0.05,2,0,0,66,55,83.33,39.78,21,6,8,7,18,5,8,5,45,24,53.33
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0,1.06,6,1,16.67,112,98,87.5,60.22,22,4,11,7,21,9,6,6,45,21,46.67
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,UC San Diego Tritons,4-4-1-1 (0.0%),0,0.43,3,1,33.33,103,86,83.5,55.92,30,4,12,14,20,9,10,1,52,28,53.85
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,Pacific Tigers,4-4-1-1 (54.03%),1,0.06,1,1,100,64,50,78.13,44.08,22,2,12,8,17,7,9,1,52,22,42.31
