Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.01,1,0,0,5,1,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,4,33.33,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),0.02,2,0,0,8,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,6,46.15,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),0.16,1,0,0,6,1,16.67,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,13,3,23.08,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (0.22%),0.11,5,1,20,8,2,25,0,0,0,3,2,66.67,0,0,0,0,0,0,2,0,0,12,6,50,1
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.19,2,1,50,4,1,25,0,0,0,1,0,0,1,0,0,0,0,0,3,1,33.33,6,4,66.67,1
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0.16,3,2,66.67,3,2,66.67,1,1,100,1,0,0,0,0,0,0,0,0,2,1,50,13,8,61.54,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (72.89%),0.45,2,1,50,3,0,0,0,0,0,1,0,0,2,1,50,0,0,0,1,1,100,6,4,66.67,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (0.11%),0.06,1,0,0,6,1,16.67,0,0,0,1,0,0,0,0,0,0,0,0,3,2,66.67,7,1,14.29,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),0.19,2,2,100,4,1,25,0,0,0,1,1,100,0,0,0,0,0,0,3,0,0,15,6,40,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),0.21,4,1,25,5,3,60,0,0,0,2,1,50,0,0,0,0,0,0,3,1,33.33,14,5,35.71,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),0.13,1,1,100,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100,11,7,63.64,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),0.18,1,1,100,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,2,1,50,13,5,38.46,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (0.0%),0.07,1,0,0,2,0,0,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,6,5,83.33,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),0.09,2,1,50,4,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,5,2,40,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0.57,3,1,33.33,6,1,16.67,0,0,0,0,0,0,2,1,50,0,0,0,3,1,33.33,19,4,21.05,1
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),0.22,1,1,100,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,4,2,50,9,2,22.22,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (0.44%),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,18.18,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),0.1,2,1,50,5,2,40,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,15,8,53.33,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),0.73,3,2,66.67,4,2,50,0,0,0,1,1,100,0,0,0,0,0,0,3,2,66.67,6,4,66.67,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0.85,4,2,50,3,1,33.33,0,0,0,2,0,0,0,0,0,1,1,100,2,0,0,11,6,54.55,0
