Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),44,32,72.73,21,12,57.14,8,7,87.5,11,9,81.82,9,5,55.56,4,2,50,10,5,50,0,0,0,2,2,100,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),114,108,94.74,33,28,84.85,16,15,93.75,49,49,100,10,8,80,10,7,70,21,20,95.24,0,0,0,8,7,87.5,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (66.22%),42,29,69.05,16,7,43.75,3,3,100,14,11,78.57,6,1,16.67,6,2,33.33,6,2,33.33,0,0,0,4,3,75,1
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),165,148,89.7,36,33,91.67,16,16,100,76,69,90.79,5,2,40,13,13,100,21,18,85.71,0,0,0,6,6,100,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),38,31,81.58,15,11,73.33,6,6,100,11,10,90.91,8,4,50,8,5,62.5,8,8,100,0,0,0,1,1,100,2
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),94,83,88.3,29,23,79.31,14,14,100,42,39,92.86,6,3,50,9,6,66.67,12,10,83.33,0,0,0,5,5,100,2
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (100.0%),34,26,76.47,12,7,58.33,7,5,71.43,10,9,90,4,3,75,4,3,75,8,4,50,0,0,0,1,0,0,3
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),96,89,92.71,36,30,83.33,19,19,100,35,34,97.14,4,2,50,8,6,75,14,13,92.86,2,1,50,4,3,75,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),34,23,67.65,20,11,55,7,7,100,5,3,60,7,3,42.86,7,3,42.86,9,5,55.56,0,0,0,2,1,50,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),95,85,89.47,34,28,82.35,10,10,100,41,38,92.68,6,3,50,6,2,33.33,11,10,90.91,1,0,0,5,5,100,1
