Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),63,45,71.43,26,15,57.69,12,11,91.67,17,15,88.24,8,3,37.5,6,2,33.33,18,10,55.56,0,0,0,7,5,71.43,2
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),69,48,69.57,32,19,59.38,12,10,83.33,21,16,76.19,8,5,62.5,9,7,77.78,18,10,55.56,1,0,0,7,7,100,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),49,40,81.63,26,20,76.92,9,9,100,7,6,85.71,7,5,71.43,7,6,85.71,14,12,85.71,0,0,0,3,2,66.67,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (0.22%),92,76,82.61,30,22,73.33,13,13,100,28,23,82.14,10,3,30,10,6,60,13,11,84.62,0,0,0,2,2,100,2
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),43,29,67.44,19,12,63.16,5,4,80,15,11,73.33,10,5,50,8,3,37.5,10,7,70,0,0,0,1,1,100,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),44,34,77.27,20,12,60,6,6,100,14,13,92.86,6,3,50,5,3,60,13,9,69.23,1,0,0,4,2,50,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (72.89%),31,26,83.87,13,9,69.23,6,6,100,6,5,83.33,9,5,55.56,7,6,85.71,10,8,80,1,1,100,0,0,0,1
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (0.11%),69,60,86.96,25,20,80,16,15,93.75,25,23,92,16,12,75,12,11,91.67,17,14,82.35,0,0,0,3,3,100,1
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-3-2-1 (100.0%),55,40,72.73,26,16,61.54,8,7,87.5,14,10,71.43,11,5,45.45,13,7,53.85,15,12,80,1,1,100,3,1,33.33,1
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),64,52,81.25,26,23,88.46,4,4,100,25,20,80,7,5,71.43,9,7,77.78,14,10,71.43,0,0,0,6,5,83.33,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),62,47,75.81,27,21,77.78,9,6,66.67,21,17,80.95,6,4,66.67,8,5,62.5,11,8,72.73,0,0,0,6,4,66.67,1
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),32,23,71.88,16,11,68.75,5,5,100,4,3,75,5,3,60,6,4,66.67,10,6,60,0,0,0,3,0,0,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (0.0%),40,29,72.5,16,6,37.5,8,8,100,12,11,91.67,10,2,20,8,3,37.5,5,2,40,0,0,0,2,2,100,3
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),98,89,90.82,28,22,78.57,12,12,100,46,43,93.48,6,2,33.33,11,6,54.55,12,12,100,1,0,0,6,5,83.33,1
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),66,56,84.85,23,17,73.91,11,11,100,27,26,96.3,9,6,66.67,8,5,62.5,13,10,76.92,0,0,0,6,5,83.33,1
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),44,30,68.18,20,12,60,2,2,100,18,15,83.33,4,2,50,4,4,100,12,9,75,0,0,0,2,2,100,2
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (0.44%),25,18,72,11,6,54.55,6,6,100,6,5,83.33,6,3,50,2,0,0,8,4,50,0,0,0,2,2,100,1
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),105,92,87.62,26,20,76.92,17,15,88.24,44,40,90.91,5,4,80,12,10,83.33,12,9,75,1,0,0,5,4,80,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),35,29,82.86,13,9,69.23,4,4,100,9,8,88.89,6,4,66.67,8,5,62.5,8,7,87.5,0,0,0,2,2,100,1
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),66,57,86.36,24,20,83.33,11,10,90.91,24,24,100,4,2,50,5,4,80,14,10,71.43,1,1,100,2,2,100,1
