Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,16,San Diego Toreros,3-5-2 (100.0%),131,111,84.73,29,22,75.86,22,20,90.91,64,57,89.06,11,5,45.45,18,12,66.67,16,14,87.5,0,0,0,3,3,100,1
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,3-4-2-1 (100.0%),55,42,76.36,23,15,65.22,8,5,62.5,15,14,93.33,13,8,61.54,3,2,66.67,15,8,53.33,0,0,0,2,2,100,2
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,16,Santa Clara Broncos,3-5-2 (100.0%),119,101,84.87,29,21,72.41,20,19,95,48,44,91.67,10,9,90,20,16,80,15,13,86.67,0,0,0,8,6,75,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (0.0%),56,41,73.21,17,10,58.82,10,10,100,24,19,79.17,11,4,36.36,9,4,44.44,11,5,45.45,0,0,0,3,3,100,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),131,120,91.6,34,27,79.41,13,13,100,63,60,95.24,8,4,50,10,8,80,16,13,81.25,1,0,0,3,3,100,3
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-2-3-1 (100.0%),82,61,74.39,35,27,77.14,10,8,80,23,18,78.26,10,6,60,14,8,57.14,14,9,64.29,0,0,0,0,0,0,4
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,Gonzaga Bulldogs,3-5-2 (100.0%),87,70,80.46,29,20,68.97,11,11,100,34,29,85.29,8,3,37.5,14,8,57.14,15,11,73.33,0,0,0,1,0,0,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (100.0%),81,64,79.01,26,16,61.54,14,13,92.86,28,24,85.71,11,3,27.27,13,7,53.85,19,11,57.89,0,0,0,7,6,85.71,3
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),81,70,86.42,20,15,75,13,11,84.62,34,33,97.06,6,4,66.67,7,4,57.14,11,7,63.64,0,0,0,5,5,100,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-4-1-1 (100.0%),40,30,75,13,9,69.23,5,4,80,17,13,76.47,8,4,50,6,3,50,9,6,66.67,0,0,0,2,2,100,4
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,Pacific Tigers,4-4-1-1 (100.0%),106,87,82.08,31,24,77.42,16,14,87.5,42,36,85.71,9,4,44.44,12,10,83.33,15,10,66.67,2,1,50,6,6,100,0
