Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,15,San Diego Toreros,3-5-2 (100.0%),0,0.09,3,0,0,66,54,81.82,53.31,24,4,6,14,25,12,11,2,58,24,41.38
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,3-4-2-1 (100.0%),0,0.12,1,1,100,65,53,81.54,45.68,23,1,13,9,19,7,9,3,43,18,41.86
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,15,Santa Clara Broncos,3-5-2 (100.0%),0,0,0,0,0,62,45,72.58,54.32,25,3,11,11,17,6,10,1,43,16,37.21
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,5-3-2 (33.22%),0,0,0,0,0,54,44,81.48,45.06,12,1,6,5,9,4,5,0,18,10,55.56
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,15,Denver Pioneers,4-1-3-2 (100.0%),2,0.63,5,2,40,88,80,90.91,54.94,10,0,3,7,13,6,5,2,18,8,44.44
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0,1,0,0,44,39,88.64,46.2,16,3,5,8,6,2,2,2,33,14,42.42
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),1,0.89,5,3,60,57,49,85.96,53.8,8,2,3,3,10,7,2,1,33,19,57.58
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-1-4-1 (0.0%),0,0.07,2,1,50,47,31,65.96,33.41,20,3,7,10,17,6,6,5,30,16,53.33
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,15,San Jose State Spartans,4-2-3-1 (100.0%),1,0.17,2,1,50,105,92,87.62,66.59,19,4,6,9,16,6,8,2,30,13,43.33
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (81.56%),1,0.76,1,1,100,18,12,66.67,41.06,14,4,5,5,7,1,5,1,33,16,48.48
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0,0.44,7,1,14.29,64,56,87.5,58.94,14,2,5,7,10,4,4,2,33,15,45.45
