Date,Match,Competition,Duration,Team,Scheme,Goals,Difference in Goals/xG,xG,Shots,Shot on target percentage,Shots on target,Passes,Passes accurate,"Possession, %",Losses,Losses Low,Corners with shots percentage,Losses Medium,Losses High,Recoveries,Recoveries Low,Penalty conversion percentage,Recoveries Medium,Recoveries High,Crossing percentage,Duels,Duels won,Offensive duels percentage,Shots from outside penalty area,Shots from outside penalty area on target,Positional attacks,Positional attacks with shots,Counterattacks,Shots against on target percentage,Counterattacks with shots,Corners,Defensive duels percentage,Corners with shots,Free kicks,Aerial duels percentage,Free kicks with shots,Penalties,Sliding tackle percentage,Penalties converted,Crosses,Crosses accurate,Deep completed crosses,Deep completed passes,Penalty area entries (runs,Penalty area entries (runs crosses),Touches in penalty area,Passes percentage,Offensive duels,Offensive duels won,Offsides,Conceded goals,Shots against,Shots against on target,Defensive duels,Defensive duels won,Aerial duels,Aerial duels won,Sliding tackles,Duels percentage,Sliding tackles successful,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes percentage,Back passes,Back passes accurate,Back passes percentage,Lateral passes,Lateral passes accurate,Lateral passes percentage,Long passes,Long passes accurate,Long passes percentage,Passes to final third,Passes to final third accurate,Passes to final third percentage,Progressive passes,Progressive passes accurate,Progressive passes percentage,Smart passes,Smart passes accurate,Smart passes percentage,Throw ins,Throw ins accurate,Throw in percentage,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Minute
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0,-0.1,0.1,2,0.0,0,81,70,48.1,22,4,1.0,10,8,14,6,,7,1,0.5,43,22,0.5,1,0,3,1,1,1.0,0,1,0.7272727272727273,1,0,0.42857142857142855,0,0,,0,2,1,1,2,6,3,5,0.8641975308641975,16,8,0,1,1,1,11,8,7,3,0,0.5116279069767442,0,9,4,3,1,0,20,15,0.75,13,11,0.8461538461538461,34,33,0.9705882352941176,6,4,0.6666666666666666,7,4,0.5714285714285714,11,7,0.6363636363636364,0,0,,5,5,1.0,0,17.03,4.26,7.41,17.23,18.19,13.5,31-45
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0,-1.06,1.06,6,0.16666666666666666,1,112,98,60.22,22,4,,11,7,21,9,,6,6,,45,21,0.5384615384615384,2,0,9,5,2,,1,0,0.3125,0,0,0.4,0,0,1.0,0,0,0,0,5,9,2,7,0.875,13,7,2,0,0,0,16,5,5,2,2,0.4666666666666667,2,6,2,5,1,0,34,23,0.6764705882352942,16,15,0.9375,47,46,0.9787234042553191,8,4,0.5,13,11,0.8461538461538461,23,17,0.7391304347826086,2,1,0.5,6,4,0.6666666666666666,1,16.12,4.48,7.14,17.98,19.0,6.43,76-90
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (0.0%),0,-0.05,0.05,2,0.0,0,66,55,39.78,21,6,0.0,8,7,18,5,,8,5,1.0,45,24,0.6875,2,0,5,1,0,1.0,0,1,0.46153846153846156,0,1,0.6,0,0,,0,1,1,1,3,5,0,2,0.8333333333333334,16,11,0,0,1,1,13,6,5,3,0,0.5333333333333333,0,12,1,3,0,0,25,20,0.8,9,9,1.0,22,19,0.8636363636363636,13,7,0.5384615384615384,9,8,0.8888888888888888,16,12,0.75,1,1,1.0,3,2,0.6666666666666666,4,14.38,2.64,19.7,28.35,21.99,7.5,76-90
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (100.0%),1,0.24,0.76,1,1.0,1,81,64,51.9,21,1,0.0,7,13,15,2,1.0,11,2,0.5,43,20,0.2727272727272727,0,0,7,0,0,,0,1,0.5,0,0,0.5714285714285714,0,1,,1,4,2,2,0,4,0,1,0.7901234567901234,11,3,2,0,0,0,16,8,7,4,0,0.46511627906976744,0,3,2,1,0,0,26,16,0.6153846153846154,14,13,0.9285714285714286,28,24,0.8571428571428571,11,3,0.2727272727272727,13,7,0.5384615384615384,19,11,0.5789473684210527,0,0,,7,6,0.8571428571428571,3,15.78,3.38,13.58,10.5,19.92,17.75,31-45
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),0,0.0,0.0,0,,0,115,103,67.88,17,1,0.0,8,8,12,6,,5,1,1.0,43,13,0.15,0,0,3,0,0,,0,1,0.6363636363636364,0,0,0.25,0,0,,0,2,2,2,1,3,0,2,0.8956521739130435,20,3,1,0,0,0,11,7,8,2,0,0.3023255813953488,0,5,0,0,0,0,35,28,0.8,25,23,0.92,42,39,0.9285714285714286,10,3,0.3,9,5,0.5555555555555556,12,10,0.8333333333333334,1,0,0.0,3,3,1.0,1,16.69,7.67,8.7,0.0,20.57,8.5,1-15
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),0,-0.12,0.12,4,0.25,1,94,83,66.98,11,0,1.0,5,6,10,7,,2,1,,21,10,0.5833333333333334,4,1,6,2,0,,0,1,0.6666666666666666,1,1,0.0,0,0,,0,0,0,0,0,4,0,0,0.8829787234042553,12,7,0,0,0,0,3,2,4,0,0,0.47619047619047616,0,4,2,2,0,0,29,23,0.7931034482758621,14,14,1.0,42,39,0.9285714285714286,6,3,0.5,9,6,0.6666666666666666,12,10,0.8333333333333334,0,0,,5,5,1.0,2,16.73,5.53,6.38,22.33,20.65,16.0,16-30
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),0,-0.22,0.22,1,1.0,1,44,30,38.18,20,5,,10,5,13,6,,7,0,0.5,43,26,0.2222222222222222,0,0,2,1,0,1.0,0,0,0.7894736842105263,0,0,0.6363636363636364,0,0,,0,4,2,2,0,4,0,1,0.6818181818181818,9,2,0,1,1,1,19,15,11,7,0,0.6046511627906976,0,6,2,4,0,0,20,12,0.6,2,2,1.0,18,15,0.8333333333333334,4,2,0.5,4,4,1.0,12,9,0.75,0,0,,2,2,1.0,2,14.47,3.38,9.09,7.38,21.8,21.0,46-60
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,Gonzaga Bulldogs,3-5-2 (100.0%),1,0.10999999999999999,0.89,5,0.6,3,57,49,53.8,8,2,0.0,3,3,10,7,,2,1,0.0,33,19,0.36363636363636365,2,1,8,5,0,,0,3,0.7647058823529411,0,0,0.5,0,0,1.0,0,3,0,0,3,6,0,4,0.8596491228070176,11,4,1,0,0,0,17,13,4,2,1,0.5757575757575758,1,4,1,1,0,0,22,17,0.7727272727272727,7,7,1.0,21,19,0.9047619047619048,5,1,0.2,10,8,0.8,14,11,0.7857142857142857,0,0,,1,1,1.0,1,13.07,3.8,8.77,18.11,21.1,12.0,61-75
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,0.0,0.0,1,0.0,0,44,39,46.2,16,3,0.0,5,8,6,2,,2,2,0.0,33,14,0.23529411764705882,1,0,3,1,0,1.0,0,1,0.6363636363636364,0,0,0.5,0,0,1.0,0,2,0,1,0,3,0,0,0.8863636363636364,17,4,0,1,3,3,11,7,4,2,1,0.42424242424242425,1,5,4,0,0,0,15,13,0.8666666666666667,5,5,1.0,17,14,0.8235294117647058,3,3,1.0,6,6,1.0,9,9,1.0,0,0,,5,4,0.8,2,11.75,2.75,6.82,21.69,20.88,17.5,61-75
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,-0.1,0.1,1,0.0,0,38,31,33.02,13,3,,2,8,6,2,,4,0,0.5,21,11,0.3333333333333333,0,0,3,1,0,1.0,0,0,0.4166666666666667,0,0,1.0,0,0,,0,2,1,1,1,6,0,2,0.8157894736842105,3,1,0,0,1,1,12,5,4,4,0,0.5238095238095238,0,5,3,2,0,0,15,11,0.7333333333333333,6,6,1.0,11,10,0.9090909090909091,8,4,0.5,8,5,0.625,8,8,1.0,0,0,,1,1,1.0,2,13.72,3.45,21.05,8.59,24.02,36.5,16-30
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),0,-0.27,0.27,2,0.0,0,49,36,32.12,17,4,,5,8,10,3,,5,2,1.0,43,28,0.36363636363636365,1,0,4,2,0,,0,0,0.85,0,0,0.5,0,0,,0,1,1,1,0,3,0,1,0.7346938775510204,11,4,0,0,0,0,20,17,8,4,0,0.6511627906976745,0,4,5,1,0,0,18,11,0.6111111111111112,13,12,0.9230769230769231,12,9,0.75,5,2,0.4,7,3,0.42857142857142855,13,9,0.6923076923076923,0,0,,0,0,,4,15.03,3.27,10.2,17.72,19.5,15.33,1-15
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-2-3-1 (100.0%),1,0.43000000000000005,0.57,3,0.3333333333333333,1,66,56,61.82,20,2,,7,11,16,5,,8,3,0.3333333333333333,43,17,0.21052631578947367,0,0,6,1,0,1.0,0,0,0.7777777777777778,0,2,0.36363636363636365,1,0,,0,3,1,3,0,5,0,3,0.8484848484848485,19,4,1,0,1,1,9,7,11,4,0,0.3953488372093023,0,6,5,0,0,0,23,17,0.7391304347826086,11,11,1.0,27,26,0.9629629629629629,9,6,0.6666666666666666,8,5,0.625,13,10,0.7692307692307693,0,0,,6,5,0.8333333333333334,1,13.41,3.47,13.64,10.29,20.05,9.0,46-60
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,16,Gonzaga Bulldogs,3-5-2 (100.0%),0,-0.51,0.51,4,0.0,0,87,70,54.1,20,4,0.0,5,11,20,11,,6,3,0.0,34,18,0.4444444444444444,1,0,7,3,0,1.0,0,2,0.6666666666666666,0,1,0.3333333333333333,0,0,0.5,0,2,0,0,1,6,0,4,0.8045977011494253,18,8,0,0,2,2,6,4,3,1,2,0.5294117647058824,1,8,1,1,1,0,29,20,0.6896551724137931,11,11,1.0,34,29,0.8529411764705882,8,3,0.375,14,8,0.5714285714285714,15,11,0.7333333333333333,0,0,,1,0,0.0,0,16.8,4.83,9.2,16.65,21.03,31.0,31-45
