index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
39,Santa Clara,4.0,Throw-in,Successful,"[108.85714285714286, 79.42857142857143]","[109.8095238095238, 50.666666666666664]",Opponent,11.142857142857139,0.5714285714285694,10.190476190476204,29.333333333333336,right
41,Santa Clara,4.0,Pass,Successful,"[111.14285714285714, 50.666666666666664]","[107.52380952380952, 41.904761904761905]",Opponent,8.857142857142861,29.333333333333336,12.476190476190482,38.095238095238095,right
43,Santa Clara,4.0,Shot(foot),Unsuccessful,"[106.0, 41.142857142857146]","[119.33333333333331, 45.904761904761905]",Opponent,14.0,38.857142857142854,0.6666666666666856,34.095238095238095,right
44,Santa Clara,5.0,Set Piece,Unsuccessful,"[100.09523809523807, 73.71428571428572]","[112.85714285714286, 36.57142857142857]",Opponent,19.904761904761926,6.285714285714278,7.142857142857139,43.42857142857143,right
46,Santa Clara,5.0,Tackle,Successful,"[113.04761904761904, 36.38095238095238]","[90.19047619047618, 33.714285714285715]",UCSD,6.952380952380963,43.61904761904762,29.809523809523824,46.285714285714285,right
48,Santa Clara,5.0,Pass,Unsuccessful,"[93.04761904761904, 30.85714285714286]","[108.47619047619045, 29.33333333333333]",Opponent,26.952380952380963,49.14285714285714,11.523809523809547,50.66666666666667,right
50,Santa Clara,5.0,Tackle,Successful,"[107.14285714285714, 28.95238095238095]","[103.14285714285714, 34.095238095238095]",UCSD,12.857142857142861,51.04761904761905,16.85714285714286,45.904761904761905,right
52,Santa Clara,5.0,Shot(foot),Unsuccessful,"[99.33333333333331, 34.476190476190474]","[119.7142857142857, 34.285714285714285]",Opponent,20.666666666666686,45.523809523809526,0.285714285714306,45.714285714285715,right
54,Santa Clara,6.0,Throw-in,Successful,"[64.28571428571428, 79.42857142857143]","[46.57142857142856, 63.80952380952381]",Opponent,55.71428571428572,0.5714285714285694,73.42857142857144,16.19047619047619,right
56,Santa Clara,6.0,Pass,Successful,"[47.52380952380951, 57.142857142857146]","[45.8095238095238, 36.0]",Opponent,72.47619047619048,22.857142857142854,74.1904761904762,44.0,right
58,Santa Clara,6.0,Pass,Successful,"[62.57142857142856, 33.523809523809526]","[63.14285714285713, 48.38095238095238]",Opponent,57.42857142857144,46.476190476190474,56.85714285714287,31.61904761904762,right
60,Santa Clara,6.0,Pass,Successful,"[61.99999999999999, 52.38095238095238]","[62.19047619047618, 32.57142857142857]",Opponent,58.00000000000001,27.61904761904762,57.80952380952382,47.42857142857143,right
62,Santa Clara,6.0,Pass,Successful,"[66.0, 31.23809523809524]","[83.52380952380952, 36.761904761904766]",Opponent,54.0,48.76190476190476,36.47619047619048,43.238095238095234,right
64,Santa Clara,6.0,Pass,Successful,"[79.7142857142857, 36.38095238095238]","[68.47619047619045, 32.57142857142857]",Opponent,40.285714285714306,43.61904761904762,51.52380952380955,47.42857142857143,right
66,Santa Clara,6.0,Pass,Successful,"[66.19047619047618, 34.66666666666667]","[90.76190476190476, 45.714285714285715]",Opponent,53.809523809523824,45.33333333333333,29.23809523809524,34.285714285714285,right
68,Santa Clara,6.0,Pass,Successful,"[87.14285714285714, 48.19047619047619]","[73.23809523809521, 13.333333333333343]",Opponent,32.85714285714286,31.80952380952381,46.76190476190479,66.66666666666666,right
70,Santa Clara,6.0,Pass,Successful,"[86.76190476190476, 12.38095238095238]","[112.09523809523807, 47.04761904761905]",Opponent,33.23809523809524,67.61904761904762,7.904761904761926,32.95238095238095,right
72,Santa Clara,6.0,Shot(foot),Unsuccessful,"[111.33333333333331, 48.0]","[118.57142857142856, 40.0]",Opponent,8.666666666666686,32.0,1.4285714285714448,40.0,right
74,Santa Clara,7.0,Set Piece,Unsuccessful,"[119.33333333333331, 0.7619047619047592]","[114.38095238095238, 29.33333333333333]",Opponent,0.6666666666666856,79.23809523809524,5.61904761904762,50.66666666666667,right
76,Santa Clara,7.0,Tackle,Successful,"[113.8095238095238, 29.33333333333333]","[99.33333333333331, 39.04761904761905]",UCSD,6.190476190476204,50.66666666666667,20.666666666666686,40.95238095238095,right
78,Santa Clara,7.0,Shot(foot),Unsuccessful,"[98.0, 39.04761904761905]","[113.42857142857142, 41.904761904761905]",Opponent,22.0,40.95238095238095,6.571428571428584,38.095238095238095,right
80,Santa Clara,8.0,Tackle,Successful,"[53.99999999999999, 68.95238095238095]","[-1, -1]",Opponent,66.0,11.047619047619051,121.0,81.0,right
82,Santa Clara,8.0,Pass,Successful,"[53.6190476190476, 72.19047619047619]","[35.90476190476189, 63.04761904761905]",Opponent,66.38095238095241,7.80952380952381,84.0952380952381,16.95238095238095,right
84,Santa Clara,8.0,Pass,Successful,"[34.57142857142856, 62.857142857142854]","[35.90476190476189, 28.19047619047619]",Opponent,85.42857142857144,17.142857142857146,84.0952380952381,51.80952380952381,right
86,Santa Clara,8.0,Pass,Successful,"[32.66666666666665, 19.61904761904762]","[51.33333333333332, 6.285714285714292]",Opponent,87.33333333333334,60.38095238095238,68.66666666666669,73.71428571428571,right
88,Santa Clara,8.0,Pass,Successful,"[47.14285714285713, 12.76190476190476]","[19.52380952380951, 31.61904761904762]",Opponent,72.85714285714286,67.23809523809524,100.47619047619048,48.38095238095238,right
90,Santa Clara,8.0,Pass,Successful,"[22.761904761904752, 36.952380952380956]","[32.66666666666665, 51.04761904761905]",Opponent,97.23809523809524,43.047619047619044,87.33333333333334,28.95238095238095,right
92,Santa Clara,8.0,Pass,Successful,"[33.42857142857141, 51.42857142857143]","[38.38095238095237, 42.476190476190474]",Opponent,86.57142857142858,28.57142857142857,81.61904761904762,37.523809523809526,right
94,Santa Clara,8.0,Pass,Successful,"[50.57142857142856, 45.333333333333336]","[53.80952380952379, 59.04761904761905]",Opponent,69.42857142857144,34.666666666666664,66.1904761904762,20.95238095238095,right
96,Santa Clara,8.0,Pass,Successful,"[71.52380952380952, 58.666666666666664]","[88.09523809523807, 75.04761904761905]",Opponent,48.47619047619048,21.333333333333336,31.904761904761926,4.952380952380949,right
98,Santa Clara,8.0,Pass,Successful,"[93.61904761904762, 69.71428571428572]","[83.9047619047619, 43.42857142857143]",Opponent,26.38095238095238,10.285714285714278,36.0952380952381,36.57142857142857,right
100,Santa Clara,8.0,Pass,Successful,"[82.76190476190476, 35.23809523809524]","[71.7142857142857, 18.85714285714286]",Opponent,37.23809523809524,44.76190476190476,48.285714285714306,61.14285714285714,right
102,Santa Clara,8.0,Pass,Successful,"[73.99999999999997, 21.14285714285714]","[94.57142857142856, 22.47619047619048]",Opponent,46.00000000000003,58.85714285714286,25.428571428571445,57.52380952380952,right
104,Santa Clara,8.0,Pass,Successful,"[97.42857142857142, 22.85714285714286]","[96.28571428571428, 29.904761904761912]",Opponent,22.571428571428584,57.14285714285714,23.714285714285722,50.09523809523809,right
106,Santa Clara,8.0,Pass,Successful,"[95.52380952380952, 29.714285714285722]","[101.42857142857142, 39.04761904761905]",Opponent,24.47619047619048,50.28571428571428,18.571428571428584,40.95238095238095,right
108,Santa Clara,8.0,Pass,Successful,"[100.85714285714286, 40.19047619047619]","[98.0, 44.57142857142857]",Opponent,19.14285714285714,39.80952380952381,22.0,35.42857142857143,right
110,Santa Clara,8.0,Pass,Successful,"[97.23809523809524, 49.523809523809526]","[114.19047619047618, 52.0]",Opponent,22.76190476190476,30.476190476190474,5.809523809523824,28.0,right
112,Santa Clara,8.0,Pass,Successful,"[115.9047619047619, 51.80952380952381]","[112.28571428571428, 40.57142857142857]",Opponent,4.095238095238102,28.19047619047619,7.714285714285722,39.42857142857143,right
114,Santa Clara,8.0,Shot(foot),Successful,"[113.23809523809524, 40.57142857142857]","[119.9047619047619, 38.095238095238095]",Opponent,6.761904761904759,39.42857142857143,0.095238095238102,41.904761904761905,right
