,Game,index,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
29,Duke,59,4.0,Tackle,Successful,"[6.190476190476183, 36.761904761904766]","[29.619047619047613, 30.285714285714292]",UCSD,6.190476190476183,36.761904761904766,29.619047619047613,30.285714285714292,left
30,Duke,61,4.0,Shot(foot),Unsuccessful,"[33.04761904761903, 29.14285714285714]","[1.0476190476190368, 37.142857142857146]",Duke,33.04761904761903,29.14285714285714,1.0476190476190368,37.142857142857146,left
31,Duke,63,5.0,Tackle,Successful,"[31.7142857142857, 27.80952380952381]","[-1, -1]",Duke,31.7142857142857,27.80952380952381,-1.0,-1.0,left
32,Duke,65,5.0,Pass,Successful,"[30.190476190476183, 28.19047619047619]","[24.476190476190467, 36.0]",Duke,30.190476190476183,28.19047619047619,24.476190476190467,36.0,left
33,Duke,67,5.0,Pass,Successful,"[26.380952380952372, 42.85714285714286]","[39.90476190476189, 49.142857142857146]",Duke,26.380952380952372,42.85714285714286,39.90476190476189,49.142857142857146,left
34,Duke,69,5.0,Shot(foot),Unsuccessful,"[31.14285714285713, 33.333333333333336]","[14.761904761904752, 42.85714285714286]",Duke,31.14285714285713,33.333333333333336,14.761904761904752,42.85714285714286,left
35,Duke,71,6.0,Throw-in,Successful,"[4.476190476190467, 80.0]","[6.3809523809523725, 70.28571428571428]",Duke,4.476190476190467,80.0,6.3809523809523725,70.28571428571428,left
36,Duke,73,6.0,Pass,Successful,"[6.952380952380942, 70.28571428571428]","[3.5238095238095113, 76.76190476190476]",Duke,6.952380952380942,70.28571428571428,3.5238095238095113,76.76190476190476,left
37,Duke,75,6.0,Pass,Successful,"[5.809523809523796, 66.85714285714286]","[15.142857142857132, 58.857142857142854]",Duke,5.809523809523796,66.85714285714286,15.142857142857132,58.857142857142854,left
38,Duke,77,6.0,Shot(foot),Unsuccessful,"[15.904761904761891, 59.23809523809524]","[0.2857142857142776, 29.904761904761912]",Duke,15.904761904761891,59.23809523809524,0.2857142857142776,29.904761904761912,left
