game,x1,y1,won,player,Side
Nevada,87.6,68.8,True,23,Right
Nevada,91.2,62.400000000000006,False,15,Right
Nevada,37.2,72.8,True,13,Right
Nevada,103.2,16.8,True,21,Left
Nevada,82.8,52.0,False,15,Right
Nevada,54.0,41.6,True,8,Right
Nevada,105.6,44.0,False,23,Right
Nevada,114.0,68.0,True,15,Right
Nevada,93.60000000000001,11.200000000000001,False,3,Left
Nevada,84.0,74.4,False,15,Right
Nevada,90.0,67.2,False,15,Right
Nevada,108.0,8.8,False,21,Left
Nevada,45.6,72.8,False,15,Right
Nevada,86.39999999999999,12.8,True,21,Left
Nevada,94.80000000000001,63.2,True,15,Right
Nevada,82.8,73.60000000000001,False,15,Right
Nevada,42.0,55.199999999999996,False,8,Right
Nevada,40.800000000000004,72.0,False,5,Right
Nevada,54.0,73.60000000000001,False,15,Right
Nevada,14.399999999999999,12.0,False,6,Left
Nevada,78.0,62.400000000000006,False,15,Right
Nevada,79.2,52.0,False,15,Right
Nevada,38.4,24.8,True,6,Left
Nevada,80.4,56.8,True,15,Right
Nevada,79.2,71.2,False,5,Right
Nevada,90.0,72.0,True,15,Right
Nevada,52.8,56.8,True,19,Right
Nevada,72.0,8.8,True,17,Left
Nevada,111.60000000000001,22.400000000000002,False,27,Left
Nevada,108.0,10.4,False,19,Left
Nevada,115.19999999999999,12.8,False,19,Left
Nevada,68.39999999999999,75.19999999999999,False,18,Right
Nevada,82.8,64.0,True,18,Right
Nevada,36.0,47.199999999999996,True,9,Right
Nevada,34.8,27.200000000000003,False,6,Left
Nevada,38.4,43.2,False,22,Right
Nevada,49.199999999999996,8.8,True,27,Left
Nevada,66.0,40.0,True,22,Right
Nevada,75.6,76.0,False,5,Right
Nevada,69.6,22.400000000000002,True,27,Left
CBU,50.4,1.6,False,17,Left
CBU,81.60000000000001,17.6,False,23,Left
CBU,69.6,68.8,False,10,Right
CBU,50.4,9.6,False,3,Left
CBU,46.800000000000004,3.2,True,21,Left
CBU,90.0,58.4,False,15,Right
CBU,74.4,58.4,False,3,Right
CBU,117.6,53.6,False,23,Right
CBU,102.0,68.8,True,10,Right
CBU,73.2,74.4,False,15,Right
CBU,110.4,3.2,False,21,Left
CBU,46.800000000000004,20.0,False,28,Left
CBU,108.0,56.0,False,15,Right
CBU,115.19999999999999,66.39999999999999,False,15,Right
CBU,86.39999999999999,12.0,False,18,Left
CBU,42.0,9.6,True,10,Left
CBU,84.0,36.0,False,15,Left
CBU,51.6,15.2,True,8,Left
CBU,52.8,35.2,False,6,Left
CBU,73.2,3.2,False,18,Left
CBU,104.4,68.0,True,15,Right
CBU,51.6,52.0,True,8,Right
CBU,46.800000000000004,6.4,True,23,Left
CBU,57.599999999999994,37.599999999999994,False,23,Left
CBU,24.0,73.60000000000001,True,13,Right
CBU,61.2,73.60000000000001,False,15,Right
CBU,36.0,73.60000000000001,False,28,Right
CBU,50.4,6.4,False,28,Left
CBU,78.0,45.599999999999994,True,3,Right
CBU,76.8,51.2,False,3,Right
CBU,55.2,62.400000000000006,False,15,Right
CBU,79.2,22.400000000000002,True,3,Left
CBU,48.0,68.0,False,15,Right
CBU,48.0,76.0,False,15,Right
CBU,106.8,74.4,False,23,Right
CBU,118.8,68.8,False,23,Right
CBU,49.199999999999996,76.8,False,13,Right
Idaho,46.800000000000004,67.2,True,13,Right
Idaho,30.0,65.6,False,13,Right
Idaho,64.80000000000001,36.0,True,3,Left
