Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
Santa Clara,0,Tackle,Successful,"[22.380952380952372, 72.57142857142857]","[-1, -1]",Opponent
Santa Clara,0,Pass,Successful,"[108.85714285714286, 71.61904761904762]","[107.33333333333331, 41.904761904761905]",Opponent
Santa Clara,0,Shot(head),Unsuccessful,"[107.52380952380952, 40.952380952380956]","[119.9047619047619, 36.952380952380956]",Opponent
Santa Clara,0,Pass,Successful,"[84.09523809523807, 50.85714285714286]","[57.99999999999999, 76.38095238095238]",UCSD
Santa Clara,0,Tackle,Successful,"[61.42857142857141, 69.14285714285714]","[-1, -1]",Opponent
Santa Clara,0,Pass,Successful,"[80.09523809523807, 45.333333333333336]","[70.19047619047618, 61.523809523809526]",Jonah
Santa Clara,0,Pass,Unsuccessful,"[61.42857142857141, 67.23809523809524]","[35.14285714285713, 57.904761904761905]",Quin
Santa Clara,0,Pass,Successful,"[60.66666666666665, 37.523809523809526]","[75.14285714285714, 16.0]",Quin
Santa Clara,0,1st Ball,Successful,"[50.57142857142856, 8.57142857142857]","[-1, -1]",Opponent
Santa Clara,0,Pass,Unsuccessful,"[74.19047619047618, 34.095238095238095]","[33.42857142857141, 4.571428571428569]",UCSD
Santa Clara,0,1st Ball,Successful,"[33.04761904761903, 4.0]","[-1, -1]",Opponent
Santa Clara,0,Pass,Unsuccessful,"[56.28571428571427, 2.857142857142861]","[43.14285714285713, 7.80952380952381]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[85.8095238095238, 49.523809523809526]","[49.6190476190476, 55.61904761904762]",UCSD
Santa Clara,0,1st Ball,Successful,"[51.90476190476189, 55.23809523809524]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[61.80952380952379, 60.57142857142857]","[60.85714285714284, 60.95238095238095]",Opponent
Santa Clara,0,Pass,Successful,"[78.76190476190476, 30.85714285714286]","[69.42857142857142, 14.476190476190482]",Quin
Santa Clara,0,Pass,Successful,"[81.61904761904759, 51.23809523809524]","[4.666666666666657, 68.38095238095238]",UCSD
Santa Clara,0,Tackle,Successful,"[4.095238095238088, 67.80952380952381]","[-1, -1]",Opponent
Santa Clara,0,1st Ball,Successful,"[66.57142857142856, 36.57142857142857]","[66.57142857142856, 36.57142857142857]",Opponent
Santa Clara,0,2nd Ball,Successful,"[76.09523809523807, 24.0]","[76.09523809523807, 24.0]",UCSD
Santa Clara,0,Pass,Successful,"[72.28571428571428, 25.904761904761912]","[30.571428571428562, 16.19047619047619]",UCSD
Santa Clara,0,1st Ball,Successful,"[31.7142857142857, 18.66666666666667]","[-1, -1]",UCSD
Santa Clara,0,1st Ball,Successful,"[66.95238095238093, 6.476190476190482]","[66.76190476190476, 7.047619047619051]",Quin
Santa Clara,0,2nd Ball,Successful,"[48.66666666666665, 7.80952380952381]","[49.04761904761903, 8.0]",UCSD
Santa Clara,0,Tackle,Successful,"[46.38095238095237, 4.38095238095238]","[46.38095238095237, 4.19047619047619]",Opponent
Santa Clara,0,1st Ball,Successful,"[30.190476190476183, 23.23809523809524]","[30.190476190476183, 23.23809523809524]",Opponent
Santa Clara,0,2nd Ball,Successful,"[35.90476190476189, 18.095238095238102]","[35.90476190476189, 18.095238095238102]",Opponent
Santa Clara,0,Tackle,Successful,"[53.42857142857141, 16.38095238095238]","[53.42857142857141, 16.38095238095238]",Quin
Santa Clara,0,Pass,Successful,"[59.52380952380951, 9.904761904761912]","[41.99999999999999, 17.14285714285714]",UCSD
Santa Clara,0,Pass,Successful,"[42.57142857142856, 16.57142857142857]","[51.7142857142857, 24.19047619047619]",UCSD
Santa Clara,0,Pass,Successful,"[55.52380952380951, 30.095238095238102]","[46.19047619047618, 52.19047619047619]",Jonah
Santa Clara,0,Pass,Unsuccessful,"[29.999999999999993, 70.66666666666666]","[7.523809523809511, 66.66666666666667]",UCSD
Santa Clara,0,1st Ball,Successful,"[74.76190476190476, 46.666666666666664]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[99.14285714285714, 49.714285714285715]","[99.14285714285714, 49.714285714285715]",UCSD
Santa Clara,0,1st Ball,Successful,"[106.57142857142856, 51.04761904761905]","[106.57142857142856, 51.04761904761905]",Opponent
Santa Clara,0,2nd Ball,Successful,"[105.61904761904762, 40.57142857142857]","[105.61904761904762, 40.57142857142857]",Opponent
Santa Clara,0,Shot(foot),Unsuccessful,"[105.61904761904762, 41.714285714285715]","[119.14285714285714, 45.142857142857146]",Opponent
Santa Clara,0,1st Ball,Successful,"[49.42857142857141, 50.666666666666664]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[59.33333333333332, 56.76190476190476]","[59.33333333333332, 56.76190476190476]",Opponent
Santa Clara,0,Pass,Unsuccessful,"[87.33333333333331, 60.19047619047619]","[69.04761904761904, 62.476190476190474]",UCSD
Santa Clara,0,Tackle,Unsuccessful,"[100.85714285714286, 74.28571428571428]","[-1, -1]",Quin
Santa Clara,0,1st Ball,Successful,"[112.66666666666666, 37.142857142857146]","[112.66666666666666, 37.142857142857146]",UCSD
Santa Clara,0,2nd Ball,Successful,"[94.38095238095238, 27.42857142857143]","[94.38095238095238, 27.42857142857143]",Opponent
Santa Clara,0,Shot(foot),Unsuccessful,"[100.47619047619045, 31.42857142857143]","[118.95238095238093, 31.42857142857143]",Opponent
Santa Clara,0,1st Ball,Successful,"[39.14285714285713, 26.66666666666667]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[60.28571428571427, 25.904761904761912]","[60.28571428571427, 25.904761904761912]",Opponent
Santa Clara,0,Tackle,Successful,"[88.85714285714283, 5.142857142857153]","[88.85714285714283, 5.142857142857153]",Quin
Santa Clara,0,1st Ball,Successful,"[12.857142857142847, 69.71428571428572]","[12.857142857142847, 69.71428571428572]",Opponent
Santa Clara,0,2nd Ball,Successful,"[27.33333333333332, 66.28571428571428]","[27.33333333333332, 66.28571428571428]",UCSD
Santa Clara,0,Pass,Successful,"[31.7142857142857, 73.71428571428572]","[28.28571428571427, 63.23809523809524]",Quin
Santa Clara,0,Tackle,Successful,"[30.380952380952372, 62.857142857142854]","[-1, -1]",Opponent
